Date,Close
,^BVSP
2020-01-02,118573.0
2020-01-03,117707.0
2020-01-06,116878.0
2020-01-07,116662.0
2020-01-08,116247.0
2020-01-09,115947.0
2020-01-10,115503.0
2020-01-13,117325.0
2020-01-14,117632.0
2020-01-15,116414.0
2020-01-16,116704.0
2020-01-17,118478.0
2020-01-20,118862.0
2020-01-21,117026.0
2020-01-22,118391.0
2020-01-23,119528.0
2020-01-24,118376.0
2020-01-27,114482.0
2020-01-28,116479.0
2020-01-29,115385.0
2020-01-30,115528.0
2020-01-31,113761.0
2020-02-03,114629.0
2020-02-04,115557.0
2020-02-05,116028.0
2020-02-06,115190.0
2020-02-07,113770.0
2020-02-10,112570.0
2020-02-11,115371.0
2020-02-12,116674.0
2020-02-13,115662.0
2020-02-14,114381.0
2020-02-17,115309.0
2020-02-18,114977.0
2020-02-19,116518.0
2020-02-20,114586.0
2020-02-21,113681.0
2020-02-26,105718.0
2020-02-27,102984.0
2020-02-28,104172.0
2020-03-02,106625.0
2020-03-03,105537.0
2020-03-04,107224.0
2020-03-05,102233.0
2020-03-06,97997.0
2020-03-09,86067.0
2020-03-10,92214.0
2020-03-11,85171.0
2020-03-12,72583.0
2020-03-13,82678.0
2020-03-16,71168.0
2020-03-17,74617.0
2020-03-18,66895.0
2020-03-19,68332.0
2020-03-20,67069.0
2020-03-23,63570.0
2020-03-24,69729.0
2020-03-25,74956.0
2020-03-26,77710.0
2020-03-27,73429.0
2020-03-30,74640.0
2020-03-31,73020.0
2020-04-01,70967.0
2020-04-02,72253.0
2020-04-03,69538.0
2020-04-06,74073.0
2020-04-07,76358.0
2020-04-08,78625.0
2020-04-09,77682.0
2020-04-13,78836.0
2020-04-14,79918.0
2020-04-15,78831.0
2020-04-16,77812.0
2020-04-17,78990.0
2020-04-20,78973.0
2020-04-22,80687.0
2020-04-23,79673.0
2020-04-24,75331.0
2020-04-27,78239.0
2020-04-28,81312.0
2020-04-29,83171.0
2020-04-30,80506.0
2020-05-04,78876.0
2020-05-05,79471.0
2020-05-06,79064.0
2020-05-07,78119.0
2020-05-08,80263.0
2020-05-11,79065.0
2020-05-12,77872.0
2020-05-13,77772.0
2020-05-14,79011.0
2020-05-15,77557.0
2020-05-18,81194.0
2020-05-19,80742.0
2020-05-20,81319.0
2020-05-21,83027.0
2020-05-22,82173.0
2020-05-25,85663.0
2020-05-26,85469.0
2020-05-27,87946.0
2020-05-28,86949.0
2020-05-29,87403.0
2020-06-01,88620.0
2020-06-02,91046.0
2020-06-03,93002.0
2020-06-04,93829.0
2020-06-05,94637.0
2020-06-08,97645.0
2020-06-09,96747.0
2020-06-10,94686.0
2020-06-12,92795.0
2020-06-15,92376.0
2020-06-16,93531.0
2020-06-17,95547.0
2020-06-18,96125.0
2020-06-19,96572.0
2020-06-22,95336.0
2020-06-23,95975.0
2020-06-24,94377.0
